dataset,method,metric,score
Tm_comb_Tongue,mnncorrect,batch_entropy,0.06
Tm_comb_Tongue,mnncorrect,cell_type_entropy,0.167
Tm_comb_Tongue,scanorama,batch_entropy,0.261
Tm_comb_Tongue,scanorama,cell_type_entropy,0.165
Tm_comb_Tongue,seurat3,batch_entropy,0.848
Tm_comb_Tongue,seurat3,cell_type_entropy,0.153
Tm_comb_Trachea,combat,batch_entropy,0.2
Tm_comb_Trachea,combat,cell_type_entropy,0.035
Tm_comb_Trachea,fastmnn,batch_entropy,0.233
Tm_comb_Trachea,fastmnn,cell_type_entropy,0.037
Tm_comb_Trachea,harmony,batch_entropy,0.119
Tm_comb_Trachea,harmony,cell_type_entropy,0.049
Tm_comb_Trachea,limma,batch_entropy,0.104
Tm_comb_Trachea,limma,cell_type_entropy,0.035
Tm_comb_Trachea,logcounts,batch_entropy,0.009
Tm_comb_Trachea,logcounts,cell_type_entropy,0.034
Tm_comb_Trachea,mnncorrect,batch_entropy,0.153
Tm_comb_Trachea,mnncorrect,cell_type_entropy,0.037
Tm_comb_Trachea,scanorama,batch_entropy,0.463
Tm_comb_Trachea,scanorama,cell_type_entropy,0.041
Tm_comb_Trachea,seurat3,batch_entropy,0.661
Tm_comb_Trachea,seurat3,cell_type_entropy,0.042
pancreas_comm_genes,combat,batch_entropy,0.189
pancreas_comm_genes,combat,cell_type_entropy,0.046
pancreas_comm_genes,fastmnn,batch_entropy,0.321
pancreas_comm_genes,fastmnn,cell_type_entropy,0.039
pancreas_comm_genes,harmony,batch_entropy,0.733
pancreas_comm_genes,harmony,cell_type_entropy,0.077
pancreas_comm_genes,limma,batch_entropy,0.143
pancreas_comm_genes,limma,cell_type_entropy,0.044
pancreas_comm_genes,logcounts,batch_entropy,0.008
pancreas_comm_genes,logcounts,cell_type_entropy,0.045
pancreas_comm_genes,mnncorrect,batch_entropy,0.133
pancreas_comm_genes,mnncorrect,cell_type_entropy,0.039
pancreas_comm_genes,scanorama,batch_entropy,0.257
pancreas_comm_genes,scanorama,cell_type_entropy,0.039
