method_id,dataset_id,metric_id,score
gpcounts,zenodo_spatial/merfish/human_cortex_4,correlation,0.8695
gpcounts,zenodo_spatial/merfish/mouse_cortex,correlation,
gpcounts,zenodo_spatial/seqfish/mouse_organogenesis_seqfish,correlation,0.9912
gpcounts,zenodo_spatial/slideseqv2/mouse_cerebellum,correlation,0.96
gpcounts,zenodo_spatial/slideseqv2/mouse_cortex,correlation,0.7076
gpcounts,zenodo_spatial/slideseqv2/mouse_hippocampus_puck,correlation,0.9886
gpcounts,zenodo_spatial/slideseqv2/mouse_olfactory_bulb_puck,correlation,0.9333
gpcounts,zenodo_spatial/slideseqv2/mouse_somatosensory_cortex_puck,correlation,0.9371
gpcounts,zenodo_spatial/starmap/mouse_brain_2d_zstep10_0,correlation,
gpcounts,zenodo_spatial/starmap/mouse_brain_2d_zstep15_0,correlation,
gpcounts,zenodo_spatial/stereoseq/drosophila_embryo_e10,correlation,0.7537
gpcounts,zenodo_spatial/stereoseq/drosophila_embryo_e5_6,correlation,0.8497
gpcounts,zenodo_spatial/stereoseq/drosophila_embryo_e6_3,correlation,0.8059
gpcounts,zenodo_spatial/stereoseq/drosophila_embryo_e7,correlation,0.7678
gpcounts,zenodo_spatial/stereoseq/drosophila_embryo_e9_1,correlation,0.7583
gpcounts,zenodo_spatial/visium/human_heart_myocardial_infarction_1,correlation,0.087
gpcounts,zenodo_spatial/visium/human_heart_myocardial_infarction_2,correlation,0.8213
gpcounts,zenodo_spatial_slidetags/slidetags/human_cortex,correlation,0.5642
gpcounts,zenodo_spatial_slidetags/slidetags/human_skin_melanoma,correlation,0.228
gpcounts,zenodo_spatial_slidetags/slidetags/human_tonsil,correlation,0.497
gpcounts,zenodo_spatial_slidetags/slidetags/mouse_embryo,correlation,0.9377
moran_i,tenx_visium/post_xenium/human_colon_cancer,correlation,0.9442
moran_i,tenx_visium/post_xenium/mouse_brain,correlation,0.988
moran_i,tenx_visium/visium/human_brain_cancer,correlation,0.941
moran_i,tenx_visium/visium/human_breast_cancer_1,correlation,0.6171
moran_i,tenx_visium/visium/human_breast_cancer_2,correlation,0.6905
moran_i,tenx_visium/visium/human_cerebellum,correlation,0.5989
moran_i,tenx_visium/visium/human_cervical_cancer,correlation,0.8135
moran_i,tenx_visium/visium/human_colorectal_cancer,correlation,0.9825
moran_i,tenx_visium/visium/human_heart,correlation,0.4672
moran_i,tenx_visium/visium/human_intestinal_cancer,correlation,0.8638
moran_i,tenx_visium/visium/human_kidney,correlation,0.56
moran_i,tenx_visium/visium/human_lung_cancer,correlation,0.7585
moran_i,tenx_visium/visium/human_lymph_node,correlation,0.8341
moran_i,tenx_visium/visium/human_normal_prostate,correlation,0.883
moran_i,tenx_visium/visium/human_prostate_cancer,correlation,0.844
moran_i,tenx_visium/visium/human_skin_melanoma,correlation,0.9063
moran_i,tenx_visium/visium/mouse_brain_coronal,correlation,0.972
moran_i,tenx_visium/visium/mouse_embryo,correlation,0.9804
moran_i,tenx_visium/visium/mouse_kidney_v1,correlation,0.7518
moran_i,tenx_visium/visium/mouse_olfactory_bulb,correlation,0.7295
moran_i,zenodo_spatial/dbitseq/mouse_e10_brain,correlation,0.6773
moran_i,zenodo_spatial/dbitseq/mouse_e10_eye,correlation,0.7467
moran_i,zenodo_spatial/dbitseq/mouse_e10_whole_body,correlation,0.7867
moran_i,zenodo_spatial/dbitseq/mouse_e11_1,correlation,0.7097
moran_i,zenodo_spatial/dbitseq/mouse_e11_2,correlation,0.7825
moran_i,zenodo_spatial/dbitseq/mouse_e11_lower_body,correlation,0.9078
moran_i,zenodo_spatial/merfish/human_cortex_1,correlation,0.5669
moran_i,zenodo_spatial/merfish/human_cortex_2,correlation,0.5288
moran_i,zenodo_spatial/merfish/human_cortex_3,correlation,0.817
moran_i,zenodo_spatial/merfish/human_cortex_4,correlation,0.7537
moran_i,zenodo_spatial/merfish/mouse_cortex,correlation,0.9501
moran_i,zenodo_spatial/seqfish/mouse_organogenesis_seqfish,correlation,0.9897
moran_i,zenodo_spatial/slideseqv2/mouse_cerebellum,correlation,0.9429
moran_i,zenodo_spatial/slideseqv2/mouse_cortex,correlation,0.8533
moran_i,zenodo_spatial/slideseqv2/mouse_hippocampus_puck,correlation,0.9752
moran_i,zenodo_spatial/slideseqv2/mouse_olfactory_bulb_puck,correlation,0.9219
moran_i,zenodo_spatial/slideseqv2/mouse_somatosensory_cortex_puck,correlation,0.9705
moran_i,zenodo_spatial/starmap/mouse_brain_2d_zstep10_0,correlation,0.8731
moran_i,zenodo_spatial/starmap/mouse_brain_2d_zstep15_0,correlation,0.8918
moran_i,zenodo_spatial/stereoseq/drosophila_embryo_e10,correlation,0.6884
moran_i,zenodo_spatial/stereoseq/drosophila_embryo_e5_6,correlation,0.748
moran_i,zenodo_spatial/stereoseq/drosophila_embryo_e6_3,correlation,0.7076
moran_i,zenodo_spatial/stereoseq/drosophila_embryo_e7,correlation,0.7183
moran_i,zenodo_spatial/stereoseq/drosophila_embryo_e9_1,correlation,0.6768
moran_i,zenodo_spatial/visium/human_heart_myocardial_infarction_1,correlation,0.2735
moran_i,zenodo_spatial/visium/human_heart_myocardial_infarction_2,correlation,0.8608
moran_i,zenodo_spatial_slidetags/slidetags/human_cortex,correlation,0.533
moran_i,zenodo_spatial_slidetags/slidetags/human_skin_melanoma,correlation,0.2069
moran_i,zenodo_spatial_slidetags/slidetags/human_tonsil,correlation,0.7276
moran_i,zenodo_spatial_slidetags/slidetags/mouse_embryo,correlation,0.9112
nnsvg,tenx_visium/post_xenium/human_colon_cancer,correlation,0.9522
nnsvg,tenx_visium/post_xenium/mouse_brain,correlation,0.988
nnsvg,tenx_visium/visium/human_brain_cancer,correlation,0.9425
nnsvg,tenx_visium/visium/human_breast_cancer_1,correlation,0.6229
nnsvg,tenx_visium/visium/human_breast_cancer_2,correlation,0.7006
nnsvg,tenx_visium/visium/human_cerebellum,correlation,0.6013
nnsvg,tenx_visium/visium/human_cervical_cancer,correlation,0.8149
nnsvg,tenx_visium/visium/human_colorectal_cancer,correlation,0.9878
nnsvg,tenx_visium/visium/human_heart,correlation,0.4893
nnsvg,tenx_visium/visium/human_intestinal_cancer,correlation,0.879
nnsvg,tenx_visium/visium/human_kidney,correlation,0.5834
nnsvg,tenx_visium/visium/human_lung_cancer,correlation,0.7821
nnsvg,tenx_visium/visium/human_lymph_node,correlation,0.8469
nnsvg,tenx_visium/visium/human_normal_prostate,correlation,0.8968
nnsvg,tenx_visium/visium/human_prostate_cancer,correlation,0.8507
nnsvg,tenx_visium/visium/human_skin_melanoma,correlation,0.9027
nnsvg,tenx_visium/visium/mouse_brain_coronal,correlation,0.9775
nnsvg,tenx_visium/visium/mouse_embryo,correlation,0.9922
nnsvg,tenx_visium/visium/mouse_kidney_v1,correlation,0.7526
nnsvg,tenx_visium/visium/mouse_olfactory_bulb,correlation,0.7389
nnsvg,zenodo_spatial/dbitseq/mouse_e10_brain,correlation,0.7427
nnsvg,zenodo_spatial/dbitseq/mouse_e10_eye,correlation,0.7714
nnsvg,zenodo_spatial/dbitseq/mouse_e10_whole_body,correlation,0.8055
nnsvg,zenodo_spatial/dbitseq/mouse_e11_1,correlation,0.7495
nnsvg,zenodo_spatial/dbitseq/mouse_e11_2,correlation,0.8269
nnsvg,zenodo_spatial/dbitseq/mouse_e11_lower_body,correlation,0.9272
nnsvg,zenodo_spatial/merfish/human_cortex_1,correlation,0.6366
nnsvg,zenodo_spatial/merfish/human_cortex_2,correlation,0.5884
nnsvg,zenodo_spatial/merfish/human_cortex_3,correlation,0.872
nnsvg,zenodo_spatial/merfish/human_cortex_4,correlation,0.8069
nnsvg,zenodo_spatial/merfish/mouse_cortex,correlation,
nnsvg,zenodo_spatial/seqfish/mouse_organogenesis_seqfish,correlation,0.992
nnsvg,zenodo_spatial/slideseqv2/mouse_cerebellum,correlation,0.9667
nnsvg,zenodo_spatial/slideseqv2/mouse_cortex,correlation,0.8695
nnsvg,zenodo_spatial/slideseqv2/mouse_hippocampus_puck,correlation,0.9876
nnsvg,zenodo_spatial/slideseqv2/mouse_olfactory_bulb_puck,correlation,0.939
nnsvg,zenodo_spatial/slideseqv2/mouse_somatosensory_cortex_puck,correlation,0.9667
nnsvg,zenodo_spatial/starmap/mouse_brain_2d_zstep10_0,correlation,0.8811
nnsvg,zenodo_spatial/starmap/mouse_brain_2d_zstep15_0,correlation,0.8941
nnsvg,zenodo_spatial/stereoseq/drosophila_embryo_e10,correlation,0.7318
nnsvg,zenodo_spatial/stereoseq/drosophila_embryo_e5_6,correlation,0.7928
nnsvg,zenodo_spatial/stereoseq/drosophila_embryo_e6_3,correlation,0.7598
nnsvg,zenodo_spatial/stereoseq/drosophila_embryo_e7,correlation,0.7625
nnsvg,zenodo_spatial/stereoseq/drosophila_embryo_e9_1,correlation,0.7297
nnsvg,zenodo_spatial/visium/human_heart_myocardial_infarction_1,correlation,0.3008
nnsvg,zenodo_spatial/visium/human_heart_myocardial_infarction_2,correlation,0.879
nnsvg,zenodo_spatial_slidetags/slidetags/human_cortex,correlation,0.6067
nnsvg,zenodo_spatial_slidetags/slidetags/human_skin_melanoma,correlation,0.3248
nnsvg,zenodo_spatial_slidetags/slidetags/human_tonsil,correlation,0.755
nnsvg,zenodo_spatial_slidetags/slidetags/mouse_embryo,correlation,0.9276
scgco,tenx_visium/post_xenium/human_colon_cancer,correlation,0.651
scgco,tenx_visium/post_xenium/mouse_brain,correlation,0.6659
scgco,tenx_visium/visium/human_brain_cancer,correlation,0.4437
scgco,tenx_visium/visium/human_breast_cancer_1,correlation,0.3443
scgco,tenx_visium/visium/human_breast_cancer_2,correlation,0.4581
scgco,tenx_visium/visium/human_cerebellum,correlation,0.4943
scgco,tenx_visium/visium/human_cervical_cancer,correlation,0.4477
scgco,tenx_visium/visium/human_colorectal_cancer,correlation,0.578
scgco,tenx_visium/visium/human_heart,correlation,0.4728
scgco,tenx_visium/visium/human_intestinal_cancer,correlation,0.7192
scgco,tenx_visium/visium/human_kidney,correlation,0.488
scgco,tenx_visium/visium/human_lung_cancer,correlation,0.6213
scgco,tenx_visium/visium/human_lymph_node,correlation,0.5063
scgco,tenx_visium/visium/human_normal_prostate,correlation,0.5836
scgco,tenx_visium/visium/human_prostate_cancer,correlation,0.6278
scgco,tenx_visium/visium/human_skin_melanoma,correlation,0.5475
scgco,tenx_visium/visium/mouse_brain_coronal,correlation,0.5906
scgco,tenx_visium/visium/mouse_embryo,correlation,0.6224
scgco,tenx_visium/visium/mouse_kidney_v1,correlation,0.4081
scgco,tenx_visium/visium/mouse_olfactory_bulb,correlation,0.6054
scgco,zenodo_spatial/dbitseq/mouse_e10_brain,correlation,0.5271
scgco,zenodo_spatial/dbitseq/mouse_e10_eye,correlation,0.5321
scgco,zenodo_spatial/dbitseq/mouse_e10_whole_body,correlation,0.6303
scgco,zenodo_spatial/dbitseq/mouse_e11_1,correlation,0.4253
scgco,zenodo_spatial/dbitseq/mouse_e11_2,correlation,0.5823
scgco,zenodo_spatial/dbitseq/mouse_e11_lower_body,correlation,0.6745
scgco,zenodo_spatial/merfish/human_cortex_1,correlation,0.1138
scgco,zenodo_spatial/merfish/human_cortex_2,correlation,0.2304
scgco,zenodo_spatial/merfish/human_cortex_3,correlation,0.5709
scgco,zenodo_spatial/merfish/human_cortex_4,correlation,0.3661
scgco,zenodo_spatial/merfish/mouse_cortex,correlation,0.5708
scgco,zenodo_spatial/seqfish/mouse_organogenesis_seqfish,correlation,0.721
scgco,zenodo_spatial/slideseqv2/mouse_cerebellum,correlation,0.5569
scgco,zenodo_spatial/slideseqv2/mouse_cortex,correlation,0.6446
scgco,zenodo_spatial/slideseqv2/mouse_hippocampus_puck,correlation,0.7101
scgco,zenodo_spatial/slideseqv2/mouse_olfactory_bulb_puck,correlation,0.5337
scgco,zenodo_spatial/slideseqv2/mouse_somatosensory_cortex_puck,correlation,0.5536
scgco,zenodo_spatial/starmap/mouse_brain_2d_zstep10_0,correlation,0.6806
scgco,zenodo_spatial/starmap/mouse_brain_2d_zstep15_0,correlation,0.6498
scgco,zenodo_spatial/stereoseq/drosophila_embryo_e10,correlation,0.4131
scgco,zenodo_spatial/stereoseq/drosophila_embryo_e5_6,correlation,0.4939
scgco,zenodo_spatial/stereoseq/drosophila_embryo_e6_3,correlation,0.5096
scgco,zenodo_spatial/stereoseq/drosophila_embryo_e7,correlation,0.4793
scgco,zenodo_spatial/stereoseq/drosophila_embryo_e9_1,correlation,0.4539
scgco,zenodo_spatial/visium/human_heart_myocardial_infarction_1,correlation,0.2152
scgco,zenodo_spatial/visium/human_heart_myocardial_infarction_2,correlation,0.6815
scgco,zenodo_spatial_slidetags/slidetags/human_cortex,correlation,0.3773
scgco,zenodo_spatial_slidetags/slidetags/human_skin_melanoma,correlation,-0.0617
scgco,zenodo_spatial_slidetags/slidetags/human_tonsil,correlation,0.2809
scgco,zenodo_spatial_slidetags/slidetags/mouse_embryo,correlation,0.7066
sepal,tenx_visium/post_xenium/human_colon_cancer,correlation,0.396
sepal,tenx_visium/post_xenium/mouse_brain,correlation,0.2953
sepal,tenx_visium/visium/human_brain_cancer,correlation,-0.5852
sepal,tenx_visium/visium/human_breast_cancer_1,correlation,-0.1162
sepal,tenx_visium/visium/human_breast_cancer_2,correlation,0.1397
sepal,tenx_visium/visium/human_cerebellum,correlation,0.087
sepal,tenx_visium/visium/human_cervical_cancer,correlation,-0.0332
sepal,tenx_visium/visium/human_colorectal_cancer,correlation,-0.2998
sepal,tenx_visium/visium/human_heart,correlation,0.0275
sepal,tenx_visium/visium/human_intestinal_cancer,correlation,-0.1473
sepal,tenx_visium/visium/human_kidney,correlation,0.1349
sepal,tenx_visium/visium/human_lung_cancer,correlation,-0.1302
sepal,tenx_visium/visium/human_lymph_node,correlation,-0.5005
sepal,tenx_visium/visium/human_normal_prostate,correlation,0.3194
sepal,tenx_visium/visium/human_prostate_cancer,correlation,0.1606
sepal,tenx_visium/visium/human_skin_melanoma,correlation,0.0177
sepal,tenx_visium/visium/mouse_brain_coronal,correlation,0.4764
