source,tissue,dataset,type,cell_type,method,score
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,GPT-5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,Grok-3,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,Grok-4,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,Kimi-k2,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,CellMarker2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,ScType,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Lymphatic,SingleR,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Claude-3.7,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Claude-4.1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,DeepSeek-R1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Doubao-1.6,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Gemini-2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Gemini-2.5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,GPT-4o,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,GPT-5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Grok-3,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Grok-4,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,Kimi-k2,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,CellMarker2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,ScType,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Macrophages,SingleR,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Claude-3.7,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Claude-4.1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,DeepSeek-R1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Doubao-1.6,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Gemini-2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Gemini-2.5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,GPT-4o,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,GPT-5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Grok-3,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Grok-4,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,Kimi-k2,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,CellMarker2.0,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,ScType,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Mast cell,SingleR,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,Claude-3.7,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,Claude-4.1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,DeepSeek-R1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,Doubao-1.6,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,Gemini-2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,Gemini-2.5,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,GPT-4o,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,GPT-5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,Grok-3,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,Grok-4,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,Kimi-k2,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,CellMarker2.0,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,ScType,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,NK cell,SingleR,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,Claude-3.7,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,Claude-4.1,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,DeepSeek-R1,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,Doubao-1.6,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,Gemini-2.0,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,Gemini-2.5,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,GPT-4o,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,GPT-5,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,Grok-3,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,Grok-4,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,Kimi-k2,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,CellMarker2.0,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,ScType,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Secretory,SingleR,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,Claude-3.7,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,Claude-4.1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,DeepSeek-R1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,Doubao-1.6,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,Gemini-2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,Gemini-2.5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,GPT-4o,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,GPT-5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,Grok-3,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,Grok-4,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,Kimi-k2,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,CellMarker2.0,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,ScType,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,T cell,SingleR,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,Claude-3.7,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,Claude-4.1,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,DeepSeek-R1,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,Doubao-1.6,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,Gemini-2.0,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,Gemini-2.5,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,GPT-4o,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,GPT-5,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,Grok-3,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,Grok-4,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,Kimi-k2,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,CellMarker2.0,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,ScType,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Transformed epithelium,SingleR,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,Claude-3.7,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,Claude-4.1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,DeepSeek-R1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,Doubao-1.6,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,Gemini-2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,Gemini-2.5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,GPT-4o,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,GPT-5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,Grok-3,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,Grok-4,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,Kimi-k2,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,CellMarker2.0,0
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,ScType,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 1,SingleR,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,Claude-3.7,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,Claude-4.1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,DeepSeek-R1,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,Doubao-1.6,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,Gemini-2.0,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,Gemini-2.5,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,GPT-4o,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,GPT-5,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,Grok-3,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,Grok-4,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,Kimi-k2,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,CellMarker2.0,0.5
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,ScType,1
Azimuth,Lung,Azimuth_Lung,Broad Cell type,Type 2,SingleR,0.5
