dataset,scenario,method,metric,score
human_immune,partially_annotated_batches_30,scDREAMER,lisi_c,0.988885
human_immune,partially_annotated_batches_30,scDREAMER,lisi_f1,0.308095
human_immune,partially_annotated_batches_30,scDREAMER,pos_rate,0.935027
human_immune,partially_annotated_batches_30,scDREAMER,truepos_rate,0.0578702
human_immune,partially_annotated_batches_30,scGEN,ARI_cluster/label,0.556603
human_immune,partially_annotated_batches_30,scGEN,ASW_label,0.5532
human_immune,partially_annotated_batches_30,scGEN,ASW_label/batch,0.902182
human_immune,partially_annotated_batches_30,scGEN,NMI_cluster/label,0.753291
human_immune,partially_annotated_batches_30,scGEN,graph_conn,0.971265
human_immune,partially_annotated_batches_30,scGEN,isolated_label_F1,0.824018
human_immune,partially_annotated_batches_30,scGEN,isolated_label_silhouette,0.591288
human_immune,partially_annotated_batches_30,scGEN,kBET,0.133571
human_immune,partially_annotated_batches_30,scGEN,lisi_b,0.135599
human_immune,partially_annotated_batches_30,scGEN,lisi_c,0.990755
human_immune,partially_annotated_batches_30,scGEN,lisi_f1,0.23855
human_immune,partially_annotated_batches_30,scGEN,pos_rate,0.954157
human_immune,partially_annotated_batches_30,scGEN,truepos_rate,0.0306811
human_immune,partially_annotated_batches_50,ItClust,ARI_cluster/label,0.275387
human_immune,partially_annotated_batches_50,ItClust,ASW_label,0.401807
human_immune,partially_annotated_batches_50,ItClust,ASW_label/batch,0.470631
human_immune,partially_annotated_batches_50,ItClust,NMI_cluster/label,0.525874
human_immune,partially_annotated_batches_50,ItClust,graph_conn,0.643922
human_immune,partially_annotated_batches_50,ItClust,isolated_label_F1,0.504275
human_immune,partially_annotated_batches_50,ItClust,isolated_label_silhouette,0.431493
human_immune,partially_annotated_batches_50,ItClust,kBET,0.132416
human_immune,partially_annotated_batches_50,ItClust,lisi_b,0.152506
human_immune,partially_annotated_batches_50,ItClust,lisi_c,0.971131
human_immune,partially_annotated_batches_50,ItClust,lisi_f1,0.263614
human_immune,partially_annotated_batches_50,ItClust,pos_rate,0.815257
human_immune,partially_annotated_batches_50,ItClust,truepos_rate,0.013311
human_immune,partially_annotated_batches_50,STACAS,ARI_cluster/label,0.7657
human_immune,partially_annotated_batches_50,STACAS,ASW_label,0.594586
human_immune,partially_annotated_batches_50,STACAS,ASW_label/batch,0.898853
human_immune,partially_annotated_batches_50,STACAS,NMI_cluster/label,0.814951
human_immune,partially_annotated_batches_50,STACAS,graph_conn,0.971391
human_immune,partially_annotated_batches_50,STACAS,isolated_label_F1,0.875406
human_immune,partially_annotated_batches_50,STACAS,isolated_label_silhouette,0.646636
human_immune,partially_annotated_batches_50,STACAS,kBET,0.291306
human_immune,partially_annotated_batches_50,STACAS,lisi_b,0.250919
human_immune,partially_annotated_batches_50,STACAS,lisi_c,0.988876
human_immune,partially_annotated_batches_50,STACAS,lisi_f1,0.400272
human_immune,partially_annotated_batches_50,STACAS,pos_rate,0.91897
human_immune,partially_annotated_batches_50,STACAS,truepos_rate,0.106429
human_immune,partially_annotated_batches_50,scANVI,ARI_cluster/label,0.857073
human_immune,partially_annotated_batches_50,scANVI,ASW_label,0.626372
human_immune,partially_annotated_batches_50,scANVI,ASW_label/batch,0.865418
human_immune,partially_annotated_batches_50,scANVI,NMI_cluster/label,0.850438
human_immune,partially_annotated_batches_50,scANVI,graph_conn,0.985515
human_immune,partially_annotated_batches_50,scANVI,isolated_label_F1,0.89413
human_immune,partially_annotated_batches_50,scANVI,isolated_label_silhouette,0.680955
human_immune,partially_annotated_batches_50,scANVI,kBET,0.214903
human_immune,partially_annotated_batches_50,scANVI,lisi_b,0.258076
human_immune,partially_annotated_batches_50,scANVI,lisi_c,0.991896
human_immune,partially_annotated_batches_50,scANVI,lisi_f1,0.409585
human_immune,partially_annotated_batches_50,scANVI,pos_rate,0.936549
human_immune,partially_annotated_batches_50,scANVI,truepos_rate,0.138483
human_immune,partially_annotated_batches_50,scDREAMER,ARI_cluster/label,0.490368
human_immune,partially_annotated_batches_50,scDREAMER,ASW_label,0.554798
human_immune,partially_annotated_batches_50,scDREAMER,ASW_label/batch,0.85467
human_immune,partially_annotated_batches_50,scDREAMER,NMI_cluster/label,0.70714
human_immune,partially_annotated_batches_50,scDREAMER,graph_conn,0.951674
human_immune,partially_annotated_batches_50,scDREAMER,isolated_label_F1,0.657051
human_immune,partially_annotated_batches_50,scDREAMER,isolated_label_silhouette,0.579769
human_immune,partially_annotated_batches_50,scDREAMER,kBET,0.0708837
human_immune,partially_annotated_batches_50,scDREAMER,lisi_b,0.177758
human_immune,partially_annotated_batches_50,scDREAMER,lisi_c,0.985254
human_immune,partially_annotated_batches_50,scDREAMER,lisi_f1,0.301177
human_immune,partially_annotated_batches_50,scDREAMER,pos_rate,0.915687
human_immune,partially_annotated_batches_50,scDREAMER,truepos_rate,0.0242643
human_immune,partially_annotated_batches_50,scGEN,ARI_cluster/label,0.459719
human_immune,partially_annotated_batches_50,scGEN,ASW_label,0.541862
human_immune,partially_annotated_batches_50,scGEN,ASW_label/batch,0.856031
human_immune,partially_annotated_batches_50,scGEN,NMI_cluster/label,0.707341
human_immune,partially_annotated_batches_50,scGEN,graph_conn,0.939053
human_immune,partially_annotated_batches_50,scGEN,isolated_label_F1,0.621904
human_immune,partially_annotated_batches_50,scGEN,isolated_label_silhouette,0.586418
human_immune,partially_annotated_batches_50,scGEN,kBET,0.0383193
human_immune,partially_annotated_batches_50,scGEN,lisi_b,0.0901325
human_immune,partially_annotated_batches_50,scGEN,lisi_c,0.990196
human_immune,partially_annotated_batches_50,scGEN,lisi_f1,0.165225
human_immune,partially_annotated_batches_50,scGEN,pos_rate,0.952188
human_immune,partially_annotated_batches_50,scGEN,truepos_rate,0.00489465
human_immune,partially_annotated_batches_70,ItClust,ARI_cluster/label,0.159285
human_immune,partially_annotated_batches_70,ItClust,ASW_label,0.357139
human_immune,partially_annotated_batches_70,ItClust,ASW_label/batch,0.56167
human_immune,partially_annotated_batches_70,ItClust,NMI_cluster/label,0.370437
human_immune,partially_annotated_batches_70,ItClust,graph_conn,0.687768
human_immune,partially_annotated_batches_70,ItClust,isolated_label_F1,0.461463
human_immune,partially_annotated_batches_70,ItClust,isolated_label_silhouette,0.406519
human_immune,partially_annotated_batches_70,ItClust,kBET,0.10539
human_immune,partially_annotated_batches_70,ItClust,lisi_b,0.161459
human_immune,partially_annotated_batches_70,ItClust,lisi_c,0.91364
human_immune,partially_annotated_batches_70,ItClust,lisi_f1,0.274422
human_immune,partially_annotated_batches_70,ItClust,pos_rate,0.543455
human_immune,partially_annotated_batches_70,ItClust,truepos_rate,0.0103265
human_immune,partially_annotated_batches_70,STACAS,ARI_cluster/label,0.774723
human_immune,partially_annotated_batches_70,STACAS,ASW_label,0.595697
human_immune,partially_annotated_batches_70,STACAS,ASW_label/batch,0.897002
human_immune,partially_annotated_batches_70,STACAS,NMI_cluster/label,0.827355
human_immune,partially_annotated_batches_70,STACAS,graph_conn,0.974803
human_immune,partially_annotated_batches_70,STACAS,isolated_label_F1,0.852003
human_immune,partially_annotated_batches_70,STACAS,isolated_label_silhouette,0.645882
human_immune,partially_annotated_batches_70,STACAS,kBET,0.296077
human_immune,partially_annotated_batches_70,STACAS,lisi_b,0.247035
human_immune,partially_annotated_batches_70,STACAS,lisi_c,0.988617
human_immune,partially_annotated_batches_70,STACAS,lisi_f1,0.395294
human_immune,partially_annotated_batches_70,STACAS,pos_rate,0.916761
human_immune,partially_annotated_batches_70,STACAS,truepos_rate,0.111264
human_immune,partially_annotated_batches_70,scANVI,ARI_cluster/label,0.837365
human_immune,partially_annotated_batches_70,scANVI,ASW_label,0.614774
human_immune,partially_annotated_batches_70,scANVI,ASW_label/batch,0.862642
human_immune,partially_annotated_batches_70,scANVI,NMI_cluster/label,0.820534
human_immune,partially_annotated_batches_70,scANVI,graph_conn,0.974634
human_immune,partially_annotated_batches_70,scANVI,isolated_label_F1,0.866177
human_immune,partially_annotated_batches_70,scANVI,isolated_label_silhouette,0.676179
human_immune,partially_annotated_batches_70,scANVI,kBET,0.217943
human_immune,partially_annotated_batches_70,scANVI,lisi_b,0.26172
human_immune,partially_annotated_batches_70,scANVI,lisi_c,0.990821
human_immune,partially_annotated_batches_70,scANVI,lisi_f1,0.414067
human_immune,partially_annotated_batches_70,scANVI,pos_rate,0.92667
human_immune,partially_annotated_batches_70,scANVI,truepos_rate,0.128067
human_immune,partially_annotated_batches_70,scDREAMER,ARI_cluster/label,0.574342
human_immune,partially_annotated_batches_70,scDREAMER,ASW_label,0.555574
human_immune,partially_annotated_batches_70,scDREAMER,ASW_label/batch,0.861723
human_immune,partially_annotated_batches_70,scDREAMER,NMI_cluster/label,0.694326
human_immune,partially_annotated_batches_70,scDREAMER,graph_conn,0.964905
human_immune,partially_annotated_batches_70,scDREAMER,isolated_label_F1,0.661474
human_immune,partially_annotated_batches_70,scDREAMER,isolated_label_silhouette,0.571398
human_immune,partially_annotated_batches_70,scDREAMER,kBET,0.17135
human_immune,partially_annotated_batches_70,scDREAMER,lisi_b,0.201185
human_immune,partially_annotated_batches_70,scDREAMER,lisi_c,0.981471
human_immune,partially_annotated_batches_70,scDREAMER,lisi_f1,0.333922
human_immune,partially_annotated_batches_70,scDREAMER,pos_rate,0.88423
human_immune,partially_annotated_batches_70,scDREAMER,truepos_rate,0.170059
human_immune,partially_annotated_batches_70,scGEN,ARI_cluster/label,0.330218
human_immune,partially_annotated_batches_70,scGEN,ASW_label,0.535688
human_immune,partially_annotated_batches_70,scGEN,ASW_label/batch,0.840131
human_immune,partially_annotated_batches_70,scGEN,NMI_cluster/label,0.67728
human_immune,partially_annotated_batches_70,scGEN,graph_conn,0.94111
human_immune,partially_annotated_batches_70,scGEN,isolated_label_F1,0.705842
human_immune,partially_annotated_batches_70,scGEN,isolated_label_silhouette,0.586601
human_immune,partially_annotated_batches_70,scGEN,kBET,0.0143332
human_immune,partially_annotated_batches_70,scGEN,lisi_b,0.0969278
human_immune,partially_annotated_batches_70,scGEN,lisi_c,0.989013
human_immune,partially_annotated_batches_70,scGEN,lisi_f1,0.176553
human_immune,partially_annotated_batches_70,scGEN,pos_rate,0.945711
human_immune,partially_annotated_batches_70,scGEN,truepos_rate,0.00537217
human_immune,randomly_missing_30,ItClust,ARI_cluster/label,0.492426
human_immune,randomly_missing_30,ItClust,ASW_label,0.707098
human_immune,randomly_missing_30,ItClust,ASW_label/batch,0.78666
human_immune,randomly_missing_30,ItClust,NMI_cluster/label,0.717945
human_immune,randomly_missing_30,ItClust,graph_conn,0.801656
human_immune,randomly_missing_30,ItClust,isolated_label_F1,0.817948
human_immune,randomly_missing_30,ItClust,isolated_label_silhouette,0.632666
human_immune,randomly_missing_30,ItClust,kBET,0.536148
human_immune,randomly_missing_30,ItClust,lisi_b,0.298023
human_immune,randomly_missing_30,ItClust,lisi_c,0.989295
human_immune,randomly_missing_30,ItClust,lisi_f1,0.458057
human_immune,randomly_missing_30,ItClust,pos_rate,0.917746
human_immune,randomly_missing_30,ItClust,truepos_rate,0.390229
human_immune,randomly_missing_30,STACAS,ARI_cluster/label,0.767702
human_immune,randomly_missing_30,STACAS,ASW_label,0.598675
human_immune,randomly_missing_30,STACAS,ASW_label/batch,0.899645
human_immune,randomly_missing_30,STACAS,NMI_cluster/label,0.805478
human_immune,randomly_missing_30,STACAS,graph_conn,0.971138
human_immune,randomly_missing_30,STACAS,isolated_label_F1,0.843668
human_immune,randomly_missing_30,STACAS,isolated_label_silhouette,0.649171
human_immune,randomly_missing_30,STACAS,kBET,0.286874
human_immune,randomly_missing_30,STACAS,lisi_b,0.267821
human_immune,randomly_missing_30,STACAS,lisi_c,0.989244
human_immune,randomly_missing_30,STACAS,lisi_f1,0.421522
human_immune,randomly_missing_30,STACAS,pos_rate,0.924133
human_immune,randomly_missing_30,STACAS,truepos_rate,0.137319
human_immune,randomly_missing_30,scANVI,ARI_cluster/label,0.869516
human_immune,randomly_missing_30,scANVI,ASW_label,0.640061
human_immune,randomly_missing_30,scANVI,ASW_label/batch,0.878666
human_immune,randomly_missing_30,scANVI,NMI_cluster/label,0.858884
human_immune,randomly_missing_30,scANVI,graph_conn,0.99278
human_immune,randomly_missing_30,scANVI,isolated_label_F1,0.93664
human_immune,randomly_missing_30,scANVI,isolated_label_silhouette,0.70478
human_immune,randomly_missing_30,scANVI,kBET,0.22131
human_immune,randomly_missing_30,scANVI,lisi_b,0.26173
human_immune,randomly_missing_30,scANVI,lisi_c,0.993646
human_immune,randomly_missing_30,scANVI,lisi_f1,0.414325
human_immune,randomly_missing_30,scANVI,pos_rate,0.955292
human_immune,randomly_missing_30,scANVI,truepos_rate,0.160777
human_immune,randomly_missing_30,scDREAMER,ARI_cluster/label,0.654063
human_immune,randomly_missing_30,scDREAMER,ASW_label,0.602425
human_immune,randomly_missing_30,scDREAMER,ASW_label/batch,0.931392
human_immune,randomly_missing_30,scDREAMER,NMI_cluster/label,0.795411
human_immune,randomly_missing_30,scDREAMER,graph_conn,0.9924
human_immune,randomly_missing_30,scDREAMER,isolated_label_F1,0.785503
human_immune,randomly_missing_30,scDREAMER,isolated_label_silhouette,0.618059
human_immune,randomly_missing_30,scDREAMER,kBET,0.644534
human_immune,randomly_missing_30,scDREAMER,lisi_b,0.34374
human_immune,randomly_missing_30,scDREAMER,lisi_c,0.992918
human_immune,randomly_missing_30,scDREAMER,lisi_f1,0.510685
human_immune,randomly_missing_30,scDREAMER,pos_rate,0.960873
human_immune,randomly_missing_30,scDREAMER,truepos_rate,0.755118
human_immune,randomly_missing_30,scGEN,ARI_cluster/label,0.707991
human_immune,randomly_missing_30,scGEN,ASW_label,0.580844
human_immune,randomly_missing_30,scGEN,ASW_label/batch,0.945812
human_immune,randomly_missing_30,scGEN,NMI_cluster/label,0.786906
human_immune,randomly_missing_30,scGEN,graph_conn,0.942832
human_immune,randomly_missing_30,scGEN,isolated_label_F1,0.720625
human_immune,randomly_missing_30,scGEN,isolated_label_silhouette,0.590352
human_immune,randomly_missing_30,scGEN,kBET,0.410551
human_immune,randomly_missing_30,scGEN,lisi_b,0.274205
human_immune,randomly_missing_30,scGEN,lisi_c,0.992607
human_immune,randomly_missing_30,scGEN,lisi_f1,0.429705
human_immune,randomly_missing_30,scGEN,pos_rate,0.959798
human_immune,randomly_missing_30,scGEN,truepos_rate,0.310303
human_immune,randomly_missing_50,ItClust,ARI_cluster/label,0.378309
human_immune,randomly_missing_50,ItClust,ASW_label,0.579914
human_immune,randomly_missing_50,ItClust,ASW_label/batch,0.812515
human_immune,randomly_missing_50,ItClust,NMI_cluster/label,0.633356
human_immune,randomly_missing_50,ItClust,graph_conn,0.696875
human_immune,randomly_missing_50,ItClust,isolated_label_F1,0.648499
human_immune,randomly_missing_50,ItClust,isolated_label_silhouette,0.461159
human_immune,randomly_missing_50,ItClust,kBET,0.545725
human_immune,randomly_missing_50,ItClust,lisi_b,0.302394
human_immune,randomly_missing_50,ItClust,lisi_c,0.981402
human_immune,randomly_missing_50,ItClust,lisi_f1,0.462332
human_immune,randomly_missing_50,ItClust,pos_rate,0.865457
human_immune,randomly_missing_50,ItClust,truepos_rate,0.39578
human_immune,randomly_missing_50,STACAS,ARI_cluster/label,0.824959
human_immune,randomly_missing_50,STACAS,ASW_label,0.597747
human_immune,randomly_missing_50,STACAS,ASW_label/batch,0.899982
human_immune,randomly_missing_50,STACAS,NMI_cluster/label,0.831188
human_immune,randomly_missing_50,STACAS,graph_conn,0.973292
human_immune,randomly_missing_50,STACAS,isolated_label_F1,0.844694
human_immune,randomly_missing_50,STACAS,isolated_label_silhouette,0.650638
human_immune,randomly_missing_50,STACAS,kBET,0.290172
human_immune,randomly_missing_50,STACAS,lisi_b,0.257015
human_immune,randomly_missing_50,STACAS,lisi_c,0.988669
human_immune,randomly_missing_50,STACAS,lisi_f1,0.407973
human_immune,randomly_missing_50,STACAS,pos_rate,0.920999
human_immune,randomly_missing_50,STACAS,truepos_rate,0.132693
human_immune,randomly_missing_50,scANVI,ARI_cluster/label,0.855993
human_immune,randomly_missing_50,scANVI,ASW_label,0.634046
human_immune,randomly_missing_50,scANVI,ASW_label/batch,0.875531
human_immune,randomly_missing_50,scANVI,NMI_cluster/label,0.843028
human_immune,randomly_missing_50,scANVI,graph_conn,0.979447
human_immune,randomly_missing_50,scANVI,isolated_label_F1,0.898648
human_immune,randomly_missing_50,scANVI,isolated_label_silhouette,0.694827
human_immune,randomly_missing_50,scANVI,kBET,0.218015
human_immune,randomly_missing_50,scANVI,lisi_b,0.259403
human_immune,randomly_missing_50,scANVI,lisi_c,0.993317
human_immune,randomly_missing_50,scANVI,lisi_f1,0.411375
human_immune,randomly_missing_50,scANVI,pos_rate,0.954187
human_immune,randomly_missing_50,scANVI,truepos_rate,0.14675
human_immune,randomly_missing_50,scDREAMER,ARI_cluster/label,0.548064
human_immune,randomly_missing_50,scDREAMER,ASW_label,0.588992
human_immune,randomly_missing_50,scDREAMER,ASW_label/batch,0.932395
human_immune,randomly_missing_50,scDREAMER,NMI_cluster/label,0.757825
human_immune,randomly_missing_50,scDREAMER,graph_conn,0.987539
human_immune,randomly_missing_50,scDREAMER,isolated_label_F1,0.620279
human_immune,randomly_missing_50,scDREAMER,isolated_label_silhouette,0.600539
human_immune,randomly_missing_50,scDREAMER,kBET,0.639744
human_immune,randomly_missing_50,scDREAMER,lisi_b,0.343303
human_immune,randomly_missing_50,scDREAMER,lisi_c,0.989503
human_immune,randomly_missing_50,scDREAMER,lisi_f1,0.50975
human_immune,randomly_missing_50,scDREAMER,pos_rate,0.935982
human_immune,randomly_missing_50,scDREAMER,truepos_rate,0.720886
human_immune,randomly_missing_50,scGEN,ARI_cluster/label,0.753175
human_immune,randomly_missing_50,scGEN,ASW_label,0.560302
human_immune,randomly_missing_50,scGEN,ASW_label/batch,0.933312
human_immune,randomly_missing_50,scGEN,NMI_cluster/label,0.762821
human_immune,randomly_missing_50,scGEN,graph_conn,0.932698
human_immune,randomly_missing_50,scGEN,isolated_label_F1,0.58069
human_immune,randomly_missing_50,scGEN,isolated_label_silhouette,0.584322
human_immune,randomly_missing_50,scGEN,kBET,0.329449
human_immune,randomly_missing_50,scGEN,lisi_b,0.217467
human_immune,randomly_missing_50,scGEN,lisi_c,0.989916
human_immune,randomly_missing_50,scGEN,lisi_f1,0.356596
human_immune,randomly_missing_50,scGEN,pos_rate,0.948696
human_immune,randomly_missing_50,scGEN,truepos_rate,0.177819
human_immune,randomly_missing_70,ItClust,ARI_cluster/label,0.300675
human_immune,randomly_missing_70,ItClust,ASW_label,0.310155
human_immune,randomly_missing_70,ItClust,ASW_label/batch,0.741705
human_immune,randomly_missing_70,ItClust,NMI_cluster/label,0.491595
human_immune,randomly_missing_70,ItClust,graph_conn,0.659443
human_immune,randomly_missing_70,ItClust,isolated_label_F1,0.353921
human_immune,randomly_missing_70,ItClust,isolated_label_silhouette,0.292544
human_immune,randomly_missing_70,ItClust,kBET,0.376689
human_immune,randomly_missing_70,ItClust,lisi_b,0.307792
human_immune,randomly_missing_70,ItClust,lisi_c,0.947083
human_immune,randomly_missing_70,ItClust,lisi_f1,0.464595
human_immune,randomly_missing_70,ItClust,pos_rate,0.765475
human_immune,randomly_missing_70,ItClust,truepos_rate,0.307079
human_immune,randomly_missing_70,STACAS,ARI_cluster/label,0.77314
human_immune,randomly_missing_70,STACAS,ASW_label,0.596145
human_immune,randomly_missing_70,STACAS,ASW_label/batch,0.898396
human_immune,randomly_missing_70,STACAS,NMI_cluster/label,0.813232
human_immune,randomly_missing_70,STACAS,graph_conn,0.970132
human_immune,randomly_missing_70,STACAS,isolated_label_F1,0.855453
human_immune,randomly_missing_70,STACAS,isolated_label_silhouette,0.648402
human_immune,randomly_missing_70,STACAS,kBET,0.284515
human_immune,randomly_missing_70,STACAS,lisi_b,0.270193
human_immune,randomly_missing_70,STACAS,lisi_c,0.988142
human_immune,randomly_missing_70,STACAS,lisi_f1,0.424353
human_immune,randomly_missing_70,STACAS,pos_rate,0.915179
human_immune,randomly_missing_70,STACAS,truepos_rate,0.132215
human_immune,randomly_missing_70,scANVI,ARI_cluster/label,0.852276
human_immune,randomly_missing_70,scANVI,ASW_label,0.635387
human_immune,randomly_missing_70,scANVI,ASW_label/batch,0.875099
human_immune,randomly_missing_70,scANVI,NMI_cluster/label,0.83748
human_immune,randomly_missing_70,scANVI,graph_conn,0.988974
human_immune,randomly_missing_70,scANVI,isolated_label_F1,0.878982
human_immune,randomly_missing_70,scANVI,isolated_label_silhouette,0.688446
human_immune,randomly_missing_70,scANVI,kBET,0.231127
human_immune,randomly_missing_70,scANVI,lisi_b,0.266948
human_immune,randomly_missing_70,scANVI,lisi_c,0.992504
human_immune,randomly_missing_70,scANVI,lisi_f1,0.420733
human_immune,randomly_missing_70,scANVI,pos_rate,0.94392
human_immune,randomly_missing_70,scANVI,truepos_rate,0.147884
human_immune,randomly_missing_70,scDREAMER,ARI_cluster/label,0.558055
human_immune,randomly_missing_70,scDREAMER,ASW_label,0.577566
human_immune,randomly_missing_70,scDREAMER,ASW_label/batch,0.927687
human_immune,randomly_missing_70,scDREAMER,NMI_cluster/label,0.725899
human_immune,randomly_missing_70,scDREAMER,graph_conn,0.940137
human_immune,randomly_missing_70,scDREAMER,isolated_label_F1,0.660386
human_immune,randomly_missing_70,scDREAMER,isolated_label_silhouette,0.598362
human_immune,randomly_missing_70,scDREAMER,kBET,0.609426
human_immune,randomly_missing_70,scDREAMER,lisi_b,0.338546
human_immune,randomly_missing_70,scDREAMER,lisi_c,0.985624
human_immune,randomly_missing_70,scDREAMER,lisi_f1,0.503982
human_immune,randomly_missing_70,scDREAMER,pos_rate,0.909777
human_immune,randomly_missing_70,scDREAMER,truepos_rate,0.680057
human_immune,randomly_missing_70,scGEN,ARI_cluster/label,0.530081
human_immune,randomly_missing_70,scGEN,ASW_label,0.544347
human_immune,randomly_missing_70,scGEN,ASW_label/batch,0.919651
human_immune,randomly_missing_70,scGEN,NMI_cluster/label,0.730972
human_immune,randomly_missing_70,scGEN,graph_conn,0.937938
human_immune,randomly_missing_70,scGEN,isolated_label_F1,0.648063
human_immune,randomly_missing_70,scGEN,isolated_label_silhouette,0.585497
human_immune,randomly_missing_70,scGEN,kBET,0.249009
human_immune,randomly_missing_70,scGEN,lisi_b,0.208959
human_immune,randomly_missing_70,scGEN,lisi_c,0.988465
human_immune,randomly_missing_70,scGEN,lisi_f1,0.344989
human_immune,randomly_missing_70,scGEN,pos_rate,0.941324
human_immune,randomly_missing_70,scGEN,truepos_rate,0.112069
human_immune,randomly_wrong_30,ItClust,ARI_cluster/label,0.531906
human_immune,randomly_wrong_30,ItClust,ASW_label,0.627939
human_immune,randomly_wrong_30,ItClust,ASW_label/batch,0.815101
human_immune,randomly_wrong_30,ItClust,NMI_cluster/label,0.477188
human_immune,randomly_wrong_30,ItClust,graph_conn,0.741126
human_immune,randomly_wrong_30,ItClust,isolated_label_F1,0.552525
human_immune,randomly_wrong_30,ItClust,isolated_label_silhouette,0.638976
human_immune,randomly_wrong_30,ItClust,kBET,0.304314
human_immune,randomly_wrong_30,ItClust,lisi_b,0.355426
human_immune,randomly_wrong_30,ItClust,lisi_c,0.953963
human_immune,randomly_wrong_30,ItClust,lisi_f1,0.517895
human_immune,randomly_wrong_30,ItClust,pos_rate,0.721154
human_immune,randomly_wrong_30,ItClust,truepos_rate,0.535755
human_immune,randomly_wrong_30,STACAS,ARI_cluster/label,0.649515
human_immune,randomly_wrong_30,STACAS,ASW_label,0.601904
human_immune,randomly_wrong_30,STACAS,ASW_label/batch,0.849415
human_immune,randomly_wrong_30,STACAS,NMI_cluster/label,0.793809
human_immune,randomly_wrong_30,STACAS,graph_conn,0.965184
human_immune,randomly_wrong_30,STACAS,isolated_label_F1,0.855052
human_immune,randomly_wrong_30,STACAS,isolated_label_silhouette,0.658787
human_immune,randomly_wrong_30,STACAS,kBET,0.244468
human_immune,randomly_wrong_30,STACAS,lisi_b,0.285222
human_immune,randomly_wrong_30,STACAS,lisi_c,0.989106
human_immune,randomly_wrong_30,STACAS,lisi_f1,0.442767
human_immune,randomly_wrong_30,STACAS,pos_rate,0.913687
human_immune,randomly_wrong_30,STACAS,truepos_rate,0.0747627
human_immune,randomly_wrong_30,scANVI,ARI_cluster/label,0.853047
human_immune,randomly_wrong_30,scANVI,ASW_label,0.575641
human_immune,randomly_wrong_30,scANVI,ASW_label/batch,0.905712
human_immune,randomly_wrong_30,scANVI,NMI_cluster/label,0.832802
human_immune,randomly_wrong_30,scANVI,graph_conn,0.987434
human_immune,randomly_wrong_30,scANVI,isolated_label_F1,0.843353
human_immune,randomly_wrong_30,scANVI,isolated_label_silhouette,0.627449
human_immune,randomly_wrong_30,scANVI,kBET,0.289714
human_immune,randomly_wrong_30,scANVI,lisi_b,0.300787
human_immune,randomly_wrong_30,scANVI,lisi_c,0.988915
human_immune,randomly_wrong_30,scANVI,lisi_f1,0.461274
human_immune,randomly_wrong_30,scANVI,pos_rate,0.921626
human_immune,randomly_wrong_30,scANVI,truepos_rate,0.218707
human_immune,randomly_wrong_30,scDREAMER,ARI_cluster/label,0.597712
human_immune,randomly_wrong_30,scDREAMER,ASW_label,0.61706
human_immune,randomly_wrong_30,scDREAMER,ASW_label/batch,0.92648
human_immune,randomly_wrong_30,scDREAMER,NMI_cluster/label,0.656042
human_immune,randomly_wrong_30,scDREAMER,graph_conn,0.982444
human_immune,randomly_wrong_30,scDREAMER,isolated_label_F1,0.776888
human_immune,randomly_wrong_30,scDREAMER,isolated_label_silhouette,0.619693
human_immune,randomly_wrong_30,scDREAMER,kBET,0.611706
human_immune,randomly_wrong_30,scDREAMER,lisi_b,0.353775
human_immune,randomly_wrong_30,scDREAMER,lisi_c,0.990126
human_immune,randomly_wrong_30,scDREAMER,lisi_f1,0.521291
human_immune,randomly_wrong_30,scDREAMER,pos_rate,0.936131
human_immune,randomly_wrong_30,scDREAMER,truepos_rate,0.616487
human_immune,randomly_wrong_30,scGEN,ARI_cluster/label,0.768183
human_immune,randomly_wrong_30,scGEN,ASW_label,0.548264
human_immune,randomly_wrong_30,scGEN,ASW_label/batch,0.930215
human_immune,randomly_wrong_30,scGEN,NMI_cluster/label,0.715225
human_immune,randomly_wrong_30,scGEN,graph_conn,0.986572
human_immune,randomly_wrong_30,scGEN,isolated_label_F1,0.621016
human_immune,randomly_wrong_30,scGEN,isolated_label_silhouette,0.569027
human_immune,randomly_wrong_30,scGEN,kBET,0.287415
human_immune,randomly_wrong_30,scGEN,lisi_b,0.233213
human_immune,randomly_wrong_30,scGEN,lisi_c,0.986197
human_immune,randomly_wrong_30,scGEN,lisi_f1,0.377222
human_immune,randomly_wrong_30,scGEN,pos_rate,0.911419
human_immune,randomly_wrong_30,scGEN,truepos_rate,0.187399
human_immune,randomly_wrong_50,ItClust,ARI_cluster/label,0.228206
human_immune,randomly_wrong_50,ItClust,ASW_label,0.464523
human_immune,randomly_wrong_50,ItClust,ASW_label/batch,0.885395
human_immune,randomly_wrong_50,ItClust,NMI_cluster/label,0.217883
human_immune,randomly_wrong_50,ItClust,graph_conn,0.513208
human_immune,randomly_wrong_50,ItClust,isolated_label_F1,0.300021
human_immune,randomly_wrong_50,ItClust,isolated_label_silhouette,0.493315
human_immune,randomly_wrong_50,ItClust,kBET,0.0804531
human_immune,randomly_wrong_50,ItClust,lisi_b,0.34148
human_immune,randomly_wrong_50,ItClust,lisi_c,0.885951
human_immune,randomly_wrong_50,ItClust,lisi_f1,0.492955
human_immune,randomly_wrong_50,ItClust,pos_rate,0.428819
human_immune,randomly_wrong_50,ItClust,truepos_rate,0.304065
human_immune,randomly_wrong_50,STACAS,ARI_cluster/label,0.648756
human_immune,randomly_wrong_50,STACAS,ASW_label,0.601429
