dataset,method,metric,rank
Dataset_9,combat,LISI,9
Dataset_9,combat,kBET,6
Dataset_9,fastmnn,ARI,10
Dataset_9,fastmnn,ASW,11
Dataset_9,fastmnn,LISI,10
Dataset_9,fastmnn,kBET,8
Dataset_9,harmony,ARI,5
Dataset_9,harmony,ASW,4
Dataset_9,harmony,LISI,3
Dataset_9,harmony,kBET,11
Dataset_9,liger,ARI,3
Dataset_9,liger,ASW,5
Dataset_9,liger,LISI,2
Dataset_9,liger,kBET,4
Dataset_9,scanorama,ARI,13
Dataset_9,scanorama,ASW,12
Dataset_9,scanorama,LISI,13
Dataset_9,scanorama,kBET,13
