method_id,dataset_id,metric_id,score
batchelor_fastmnn,cellxgene_census/tabula_sapiens,isolated_label_f1,0.0364
batchelor_fastmnn,cellxgene_census/tabula_sapiens,kbet,0.4032
batchelor_fastmnn,cellxgene_census/tabula_sapiens,nmi,0.7331
batchelor_fastmnn,cellxgene_census/tabula_sapiens,pcr,0.2365
batchelor_mnn_correct,cellxgene_census/dkd,ari,0.757
batchelor_mnn_correct,cellxgene_census/dkd,asw_batch,0.799
batchelor_mnn_correct,cellxgene_census/dkd,asw_label,0.6657
batchelor_mnn_correct,cellxgene_census/dkd,cell_cycle_conservation,0.8692
batchelor_mnn_correct,cellxgene_census/dkd,clisi,1
batchelor_mnn_correct,cellxgene_census/dkd,graph_connectivity,0.9696
batchelor_mnn_correct,cellxgene_census/dkd,hvg_overlap,0.4293
batchelor_mnn_correct,cellxgene_census/dkd,ilisi,0.2893
batchelor_mnn_correct,cellxgene_census/dkd,isolated_label_asw,
batchelor_mnn_correct,cellxgene_census/dkd,isolated_label_f1,
batchelor_mnn_correct,cellxgene_census/dkd,kbet,0.2482
batchelor_mnn_correct,cellxgene_census/dkd,nmi,0.8248
batchelor_mnn_correct,cellxgene_census/dkd,pcr,0.5344
batchelor_mnn_correct,cellxgene_census/gtex_v9,ari,
batchelor_mnn_correct,cellxgene_census/gtex_v9,asw_batch,
batchelor_mnn_correct,cellxgene_census/gtex_v9,asw_label,
batchelor_mnn_correct,cellxgene_census/gtex_v9,cell_cycle_conservation,
batchelor_mnn_correct,cellxgene_census/gtex_v9,clisi,
batchelor_mnn_correct,cellxgene_census/gtex_v9,graph_connectivity,
batchelor_mnn_correct,cellxgene_census/gtex_v9,hvg_overlap,
batchelor_mnn_correct,cellxgene_census/gtex_v9,ilisi,
batchelor_mnn_correct,cellxgene_census/gtex_v9,isolated_label_asw,
batchelor_mnn_correct,cellxgene_census/gtex_v9,isolated_label_f1,
batchelor_mnn_correct,cellxgene_census/gtex_v9,kbet,
batchelor_mnn_correct,cellxgene_census/gtex_v9,nmi,
batchelor_mnn_correct,cellxgene_census/gtex_v9,pcr,
batchelor_mnn_correct,cellxgene_census/hypomap,ari,
batchelor_mnn_correct,cellxgene_census/hypomap,asw_batch,
batchelor_mnn_correct,cellxgene_census/hypomap,asw_label,
batchelor_mnn_correct,cellxgene_census/hypomap,cell_cycle_conservation,
batchelor_mnn_correct,cellxgene_census/hypomap,clisi,
batchelor_mnn_correct,cellxgene_census/hypomap,graph_connectivity,
batchelor_mnn_correct,cellxgene_census/hypomap,hvg_overlap,
batchelor_mnn_correct,cellxgene_census/hypomap,ilisi,
batchelor_mnn_correct,cellxgene_census/hypomap,isolated_label_asw,
batchelor_mnn_correct,cellxgene_census/hypomap,isolated_label_f1,
batchelor_mnn_correct,cellxgene_census/hypomap,kbet,
batchelor_mnn_correct,cellxgene_census/hypomap,nmi,
batchelor_mnn_correct,cellxgene_census/hypomap,pcr,
batchelor_mnn_correct,cellxgene_census/immune_cell_atlas,ari,
batchelor_mnn_correct,cellxgene_census/immune_cell_atlas,asw_batch,
batchelor_mnn_correct,cellxgene_census/immune_cell_atlas,asw_label,
batchelor_mnn_correct,cellxgene_census/immune_cell_atlas,cell_cycle_conservation,
batchelor_mnn_correct,cellxgene_census/immune_cell_atlas,clisi,
batchelor_mnn_correct,cellxgene_census/immune_cell_atlas,graph_connectivity,
batchelor_mnn_correct,cellxgene_census/immune_cell_atlas,hvg_overlap,
batchelor_mnn_correct,cellxgene_census/immune_cell_atlas,ilisi,
batchelor_mnn_correct,cellxgene_census/immune_cell_atlas,isolated_label_asw,
batchelor_mnn_correct,cellxgene_census/immune_cell_atlas,isolated_label_f1,
batchelor_mnn_correct,cellxgene_census/immune_cell_atlas,kbet,
batchelor_mnn_correct,cellxgene_census/immune_cell_atlas,nmi,
batchelor_mnn_correct,cellxgene_census/immune_cell_atlas,pcr,
batchelor_mnn_correct,cellxgene_census/mouse_pancreas_atlas,ari,
batchelor_mnn_correct,cellxgene_census/mouse_pancreas_atlas,asw_batch,
batchelor_mnn_correct,cellxgene_census/mouse_pancreas_atlas,asw_label,
batchelor_mnn_correct,cellxgene_census/mouse_pancreas_atlas,cell_cycle_conservation,
batchelor_mnn_correct,cellxgene_census/mouse_pancreas_atlas,clisi,
batchelor_mnn_correct,cellxgene_census/mouse_pancreas_atlas,graph_connectivity,
batchelor_mnn_correct,cellxgene_census/mouse_pancreas_atlas,hvg_overlap,
batchelor_mnn_correct,cellxgene_census/mouse_pancreas_atlas,ilisi,
batchelor_mnn_correct,cellxgene_census/mouse_pancreas_atlas,isolated_label_asw,
batchelor_mnn_correct,cellxgene_census/mouse_pancreas_atlas,isolated_label_f1,
batchelor_mnn_correct,cellxgene_census/mouse_pancreas_atlas,kbet,
batchelor_mnn_correct,cellxgene_census/mouse_pancreas_atlas,nmi,
batchelor_mnn_correct,cellxgene_census/mouse_pancreas_atlas,pcr,
batchelor_mnn_correct,cellxgene_census/tabula_sapiens,ari,
batchelor_mnn_correct,cellxgene_census/tabula_sapiens,asw_batch,
batchelor_mnn_correct,cellxgene_census/tabula_sapiens,asw_label,
batchelor_mnn_correct,cellxgene_census/tabula_sapiens,cell_cycle_conservation,
batchelor_mnn_correct,cellxgene_census/tabula_sapiens,clisi,
batchelor_mnn_correct,cellxgene_census/tabula_sapiens,graph_connectivity,
batchelor_mnn_correct,cellxgene_census/tabula_sapiens,hvg_overlap,
batchelor_mnn_correct,cellxgene_census/tabula_sapiens,ilisi,
batchelor_mnn_correct,cellxgene_census/tabula_sapiens,isolated_label_asw,
batchelor_mnn_correct,cellxgene_census/tabula_sapiens,isolated_label_f1,
batchelor_mnn_correct,cellxgene_census/tabula_sapiens,kbet,
batchelor_mnn_correct,cellxgene_census/tabula_sapiens,nmi,
batchelor_mnn_correct,cellxgene_census/tabula_sapiens,pcr,
bbknn,cellxgene_census/dkd,ari,0.7666
bbknn,cellxgene_census/dkd,asw_batch,
bbknn,cellxgene_census/dkd,asw_label,
bbknn,cellxgene_census/dkd,cell_cycle_conservation,
bbknn,cellxgene_census/dkd,clisi,0.9622
bbknn,cellxgene_census/dkd,graph_connectivity,0.984
bbknn,cellxgene_census/dkd,hvg_overlap,
bbknn,cellxgene_census/dkd,ilisi,0.3526
bbknn,cellxgene_census/dkd,isolated_label_asw,
bbknn,cellxgene_census/dkd,isolated_label_f1,
bbknn,cellxgene_census/dkd,kbet,
bbknn,cellxgene_census/dkd,nmi,0.8228
bbknn,cellxgene_census/dkd,pcr,
bbknn,cellxgene_census/gtex_v9,ari,0.6331
bbknn,cellxgene_census/gtex_v9,asw_batch,
bbknn,cellxgene_census/gtex_v9,asw_label,
bbknn,cellxgene_census/gtex_v9,cell_cycle_conservation,
bbknn,cellxgene_census/gtex_v9,clisi,0.9412
bbknn,cellxgene_census/gtex_v9,graph_connectivity,0.9546
bbknn,cellxgene_census/gtex_v9,hvg_overlap,
bbknn,cellxgene_census/gtex_v9,ilisi,0.2703
bbknn,cellxgene_census/gtex_v9,isolated_label_asw,
bbknn,cellxgene_census/gtex_v9,isolated_label_f1,0.0142
bbknn,cellxgene_census/gtex_v9,kbet,
bbknn,cellxgene_census/gtex_v9,nmi,0.7754
bbknn,cellxgene_census/gtex_v9,pcr,
bbknn,cellxgene_census/hypomap,ari,0.7918
