"method","frequency","smape","mase","n_series"
"Comb","Weekly",8.944,2.432,359
"Comb","Yearly",14.8481,3.2804,23000
"ARIMA","Daily",3.1927,3.4098,4227
"ARIMA","Hourly",13.9801,0.9427,414
"ARIMA","Monthly",13.443,0.9302,48000
"ARIMA","Quarterly",10.431,1.1648,24000
"ARIMA","Weekly",8.6532,2.5556,359
"ARIMA","Yearly",15.1681,3.4018,23000
"Nikzad","Daily",3.2658,3.5027,4227
"Nikzad","Hourly",11.3356,0.8098,414
"Nikzad","Monthly",12.9767,1.0395,48000
"Nikzad","Quarterly",10.5224,1.2001,24000
"Nikzad","Weekly",7.3089,2.2459,359
"Nikzad","Yearly",14.8008,3.3799,23000
"Damped","Daily",3.064,3.2356,4227
"Damped","Hourly",19.2653,2.9558,414
"Damped","Monthly",13.4733,0.9722,48000
"Damped","Quarterly",10.2369,1.1732,24000
"Damped","Weekly",8.8655,2.4037,359
"Damped","Yearly",15.1981,3.3788,23000
"ETS","Daily",3.046,3.2526,4227
"ETS","Hourly",17.3068,1.8239,414
"ETS","Monthly",13.5251,0.9478,48000
"ETS","Quarterly",10.2908,1.1607,24000
"ETS","Weekly",8.7266,2.527,359
"ETS","Yearly",15.3562,3.4444,23000
"Segura-Heras","Daily",3.1487,3.4792,4227
"Segura-Heras","Hourly",14.5754,1.3454,414
"Segura-Heras","Monthly",13.0071,0.9349,48000
"Segura-Heras","Quarterly",10.3975,1.2133,24000
"Segura-Heras","Weekly",9.2798,2.5409,359
"Segura-Heras","Yearly",15.3963,3.5454,23000
"Trotta","Daily",3.3122,3.4573,4227
"Trotta","Hourly",14.0065,1.213,414
"Trotta","Monthly",13.9732,0.9723,48000
"Trotta","Quarterly",11.0306,1.202,24000
"Trotta","Weekly",8.4393,2.9762,359
"Trotta","Yearly",14.3974,3.3244,23000
